Ligand  Mulliken_P  Mulliken_Cl HOMO_eV_1 LUMO_eV_2
14a 0.1735  -0.1605 -4.9253 0.7674
14b 0.1648  -0.1579 -4.3946 0.4925
14c 0.1646  -0.1621 -4.8110 0.8708
14d 0.1725  -0.1627 -4.7810 0.8871
14e 0.1798  -0.1530 -5.1702 0.4435
14f 0.1694  -0.1633 -4.7375 1.0014
14g 0.1841  -0.1466 -5.4015 0.2830
14h 0.1362  -0.1808 -4.7348 1.7606
14i 0.1405  -0.1789 -4.8382 1.7034
15a 0.2414  -0.2064 -3.8069 2.1252
15b 0.2258  -0.2058 -3.8613 1.8667
15c 0.2245  -0.2040 -3.7089 1.7715
15d 0.2122  -0.2132 -3.7742 2.0517
15e 0.2054  -0.2127 -4.1062 1.5565
15f 0.1936  -0.1456 -5.4668 0.7782
