ligand_code	L	B1	B5	Pwbond_length	wPC_Angle	CPC_Angle
14a_R2	7.02	1.38	3.49	2.17	97.97	100.19
14a_R3	7.03	1.44	3.5	2.17	97.97	100.19
14b_R2	7.05	1.37	5.92	2.17	97.97	99.75
14b_R3	7.06	1.24	5.9	2.17	97.97	99.75
14c_R2	7.03	1.38	4.63	2.17	97.97	100.61
14c_R3	7.03	1.36	4.64	2.17	97.97	100.61
14d_R2	7.89	2.13	3.49	2.17	97.97	99.59
14d_R3	7.02	1.43	4.59	2.17	97.97	99.59
14e_R2	8.31	2.69	3.48	2.17	97.97	98.73
14e_R3	8.36	2.46	3.48	2.17	97.97	98.73
14f_R2	7.2	1.43	4.64	2.17	97.97	99.42
14f_R3	7.19	1.39	4.61	2.17	97.97	99.42
14g_R2	7.79	1.42	5.22	2.17	97.97	99.06
14g_R3	7.79	1.39	5.14	2.17	97.97	99.06
14h_R2	6.88	2.25	3.75	2.17	97.97	101.17
14h_R3	6.96	2.27	3.83	2.17	97.97	101.17
14i_R2	4.9	2.27	3.4	2.17	97.97	101.07
14i_R3	4.77	2.25	3.4	2.17	97.97	101.07
15a_R2	7.02	1.41	5.65	2.17	97.97	98.55
15a_R3	7.02	1.34	3.39	2.17	97.97	98.55
15b_R2	7.03	1.33	4.58	2.17	97.97	98.55
15b_R3	7.03	1.39	3.44	2.17	97.97	98.55
15c_R2	8.09	1.35	6.01	2.17	97.97	99.14
15c_R3	7.02	1.37	3.4	2.17	97.97	99.14
15d_R2	7.03	1.33	3.41	2.17	97.97	99.21
15d_R3	7.02	1.53	5.63	2.17	97.97	99.21
15e_R2	7.02	1.57	7.42	2.17	97.97	100.34
15e_R3	7.03	1.42	3.52	2.17	97.97	100.34
15f_R2	4.86	2.59	3.41	2.17	97.97	98.82
