Yields	L_R2	B1_R2	B5_R2	CPC_Angle_R2	L_R3	B1_R3	B5_R3	CPC_Angle_R3	L_R0	B1_R0	B5_R0	CPC_Angle_R0	L_R1	B1_R1	B5_R1	CPC_Angle_R1	Mulliken_C	HOMO_eV_1	LUMO_eV_1	Mulliken_P	Mulliken_Cl	HOMO_eV_2	LUMO_eV_2
0.70	7.03	1.44	3.5	100.19	7.03	1.44	3.5	100.19	7.01	1.44	3.41	104.11	7.02	1.51	5.68	104.11	-0.0406	-3.132	1.6572	0.1735	-0.1605	-4.9253	0.7674
0.44	7.06	1.24	5.9	99.75	7.06	1.24	5.9	99.75	7.01	1.44	3.41	104.11	7.02	1.51	5.68	104.11	-0.0406	-3.132	1.6572	0.1648	-0.1579	-4.3946	0.4925
0.37	7.03	1.36	4.64	100.61	7.03	1.36	4.64	100.61	7.01	1.44	3.41	104.11	7.02	1.51	5.68	104.11	-0.0406	-3.132	1.6572	0.1646	-0.1621	-4.811	0.8708
0.52	7.02	1.43	4.59	99.59	7.02	1.43	4.59	99.59	7.01	1.44	3.41	104.11	7.02	1.51	5.68	104.11	-0.0406	-3.132	1.6572	0.1725	-0.1627	-4.781	0.8871
0.58	8.36	2.46	3.48	98.73	8.36	2.46	3.48	98.73	7.01	1.44	3.41	104.11	7.02	1.51	5.68	104.11	-0.0406	-3.132	1.6572	0.1798	-0.153	-5.1702	0.4435
0.61	7.19	1.39	4.61	99.42	7.19	1.39	4.61	99.42	7.01	1.44	3.41	104.11	7.02	1.51	5.68	104.11	-0.0406	-3.132	1.6572	0.1694	-0.1633	-4.7375	1.0014
0.44	7.79	1.39	5.14	99.06	7.79	1.39	5.14	99.06	7.01	1.44	3.41	104.11	7.02	1.51	5.68	104.11	-0.0406	-3.132	1.6572	0.1841	-0.1466	-5.4015	0.283
0.47	6.96	2.27	3.83	101.17	6.96	2.27	3.83	101.17	7.01	1.44	3.41	104.11	7.02	1.51	5.68	104.11	-0.0406	-3.132	1.6572	0.1362	-0.1808	-4.7348	1.7606
0.43	4.77	2.25	3.4	101.07	4.77	2.25	3.4	101.07	7.01	1.44	3.41	104.11	7.02	1.51	5.68	104.11	-0.0406	-3.132	1.6572	0.1405	-0.1789	-4.8382	1.7034
0.45	7.03	1.44	3.5	100.19	7.03	1.44	3.5	100.19	7.03	1.3	3.43	102.67	4.83	2.26	3.4	102.67	-0.0384	-3.7062	0.8953	0.1735	-0.1605	-4.9253	0.7674
0.54	7.03	1.39	3.44	98.55	7.03	1.39	3.44	98.55	7.02	1.36	3.47	103.51	1.39	3.4	2.17	103.51	-0.0385	-3.7797	0.8463	0.2258	-0.2058	-3.8613	1.8667
0.45	7.02	1.37	3.4	99.14	7.02	1.37	3.4	99.14	7.02	1.36	3.47	103.51	1.39	3.4	2.17	103.51	-0.0385	-3.7797	0.8463	0.2245	-0.204	-3.7089	1.7715
0.67	7.02	1.34	3.39	98.55	7.02	1.34	3.39	98.55	7.02	1.36	3.47	103.51	1.39	3.4	2.17	103.51	-0.0385	-3.7797	0.8463	0.2414	-0.2064	-3.8069	2.1252
0.55	7.02	1.53	5.63	99.21	7.02	1.53	5.63	99.21	7.02	1.36	3.47	103.51	1.39	3.4	2.17	103.51	-0.0385	-3.7797	0.8463	0.2122	-0.2132	-3.7742	2.0517
0.33	7.03	1.42	3.52	100.34	7.03	1.42	3.52	100.34	7.02	1.36	3.47	103.51	1.39	3.4	2.17	103.51	-0.0385	-3.7797	0.8463	0.2054	-0.2127	-4.1062	1.5565
0.35	7.03	1.42	3.52	100.34	7.03	1.42	3.52	100.34	7.01	1.44	3.41	104.11	7.02	1.51	5.68	104.11	-0.0406	-3.132	1.6572	0.2054	-0.2127	-4.1062	1.5565
0.52	7.02	1.34	3.39	98.55	7.02	1.34	3.39	98.55	7.01	1.44	3.41	104.11	7.02	1.51	5.68	104.11	-0.0406	-3.132	1.6572	0.2414	-0.2064	-3.8069	2.1252
0.56	7.02	1.34	3.39	98.55	7.02	1.34	3.39	98.55	7.03	1.3	3.43	102.67	4.83	2.26	3.4	102.67	-0.0384	-3.7062	0.8953	0.2414	-0.2064	-3.8069	2.1252
